[GHC-74335] "DriverInconsistentDynFlags"
[GHC-98887] "DriverSafeHaskellIgnoredExtension"
[GHC-83552] "DriverPackageTrustIgnored"
[GHC-93741] "DriverUnrecognisedFlag"
[GHC-53692] "DriverDeprecatedFlag"
[GHC-97739] "BadTelescope"
[GHC-64725] "UserTypeError"
[GHC-22250] "UnsatisfiableError"
[GHC-88464] "ReportHoleError"
[GHC-55287] "FixedRuntimeRepError"
[GHC-06200] "BlockedEquality"
[GHC-81325] "ExpectingMoreArguments"
[GHC-91416] "UnboundImplicitParams"
[GHC-78125] "AmbiguityPreventsSolvingCt"
[GHC-39999] "CannotResolveInstance"
[GHC-43085] "OverlappingInstances"
[GHC-36705] "UnsafeOverlap"
[GHC-18872] "BasicMismatch"
[GHC-89223] "KindMismatch"
[GHC-83865] "TypeEqMismatch"
[GHC-05617] "CouldNotDeduce"
[GHC-91028] "CannotUnifyWithPolytype"
[GHC-27958] "OccursCheck"
[GHC-46956] "SkolemEscape"
[GHC-25897] "DifferentTyVars"
[GHC-10283] "RepresentationalEq"
[GHC-40404] "TcRnSolverDepthError"
[GHC-30606] "TcRnRedundantConstraints"
[GHC-40564] "TcRnInaccessibleCode"
[GHC-28129] "TcRnInaccessibleCoAxBranch"
[GHC-18478] "TcRnTypeDoesNotHaveFixedRuntimeRep"
[GHC-00846] "TcRnImplicitLift"
[GHC-61367] "TcRnUnusedPatternBinds"
[GHC-75356] "TcRnDodgyExports"
[GHC-77037] "TcRnMissingImportList"
[GHC-01687] "TcRnUnsafeDueToPlugin"
[GHC-84170] "TcRnModMissingRealSrcSpan"
[GHC-44188] "TcRnIdNotExportedFromModuleSig"
[GHC-50058] "TcRnIdNotExportedFromLocalSig"
[GHC-63397] "TcRnShadowedName"
[GHC-53573] "TcRnInvalidWarningCategory"
[GHC-00711] "TcRnDuplicateWarningDecls"
[GHC-95822] "TcRnSimplifierTooManyIterations"
[GHC-82077] "TcRnIllegalPatSynDecl"
[GHC-15172] "TcRnLinearPatSyn"
[GHC-20825] "TcRnEmptyRecordUpdate"
[GHC-44287] "TcRnIllegalFieldPunning"
[GHC-37132] "TcRnIllegalWildcardsInRecord"
[GHC-65507] "TcRnIllegalWildcardInType"
[GHC-93411] "TcRnIllegalNamedWildcardInTypeArgument"
[GHC-80557] "TcRnIllegalImplicitTyVarInTypeArgument"
[GHC-85524] "TcRnDuplicateFieldName"
[GHC-22406] "TcRnIllegalViewPattern"
[GHC-17268] "TcRnCharLiteralOutOfRange"
[GHC-47217] "TcRnIllegalWildcardsInConstructor"
[GHC-66649] "TcRnIgnoringAnnotations"
[GHC-68934] "TcRnAnnotationInSafeHaskell"
[GHC-95781] "TcRnInvalidTypeApplication"
[GHC-36495] "TcRnTagToEnumMissingValArg"
[GHC-08522] "TcRnTagToEnumUnspecifiedResTy"
[GHC-49356] "TcRnTagToEnumResTyNotAnEnum"
[GHC-96189] "TcRnTagToEnumResTyTypeData"
[GHC-55868] "TcRnArrowIfThenElsePredDependsOnResultTy"
[GHC-58195] "TcRnIllegalHsBootOrSigDecl"
[GHC-72489] "TcRnRecursivePatternSynonym"
[GHC-88793] "TcRnPartialTypeSigTyVarMismatch"
[GHC-94185] "TcRnPartialTypeSigBadQuantifier"
[GHC-38417] "TcRnMissingSignature"
[GHC-64414] "TcRnPolymorphicBinderMissingSig"
[GHC-16675] "TcRnOverloadedSig"
[GHC-69012] "TcRnTupleConstraintInst"
[GHC-47403] "TcRnUserTypeError"
[GHC-01259] "TcRnConstraintInKind"
[GHC-19590] "TcRnUnboxedTupleOrSumTypeFuncArg"
[GHC-13218] "TcRnLinearFuncInKind"
[GHC-31147] "TcRnForAllEscapeError"
[GHC-51580] "TcRnVDQInTermType"
[GHC-02550] "TcRnBadQuantPredHead"
[GHC-77539] "TcRnIllegalTupleConstraint"
[GHC-80003] "TcRnNonTypeVarArgInConstraint"
[GHC-75863] "TcRnIllegalImplicitParam"
[GHC-75844] "TcRnIllegalConstraintSynonymOfKind"
[GHC-45474] "TcRnOversaturatedVisibleKindArg"
[GHC-91510] "TcRnForAllRankErr"
[GHC-55524] "TcRnMonomorphicBindings"
[GHC-90177] "TcRnOrphanInstance"
[GHC-46208] "TcRnFunDepConflict"
[GHC-59692] "TcRnDupInstanceDecls"
[GHC-34447] "TcRnConflictingFamInstDecls"
[GHC-05175] "TcRnFamInstNotInjective"
[GHC-55666] "TcRnBangOnUnliftedType"
[GHC-71444] "TcRnLazyBangOnUnliftedType"
[GHC-99565] "TcRnMultipleDefaultDeclarations"
[GHC-88933] "TcRnBadDefaultType"
[GHC-66775] "TcRnPatSynBundledWithNonDataCon"
[GHC-66025] "TcRnPatSynBundledWithWrongType"
[GHC-51876] "TcRnDupeModuleExport"
[GHC-90973] "TcRnExportedModNotImported"
[GHC-64649] "TcRnNullExportedModule"
[GHC-85401] "TcRnMissingExportList"
[GHC-94558] "TcRnExportHiddenComponents"
[GHC-47854] "TcRnDuplicateExport"
[GHC-88993] "TcRnExportedParentChildMismatch"
[GHC-69158] "TcRnConflictingExports"
[GHC-97219] "TcRnDuplicateFieldExport"
[GHC-56428] "TcRnAmbiguousFieldInUpdate"
[GHC-02256] "TcRnAmbiguousRecordUpdate"
[GHC-20125] "TcRnMissingFields"
[GHC-63055] "TcRnFieldUpdateInvalidType"
[GHC-95909] "TcRnMissingStrictFields"
[GHC-88431] "TcRnStaticFormNotClosed"
[GHC-23800] "TcRnIllegalStaticExpression"
[GHC-90584] "TcRnUselessTypeable"
[GHC-20042] "TcRnDerivingDefaults"
[GHC-73993] "TcRnNonUnaryTypeclassConstraint"
[GHC-60661] "TcRnPartialTypeSignatures"
[GHC-87005] "TcRnLazyGADTPattern"
[GHC-64525] "TcRnArrowProcGADTPattern"
[GHC-12003] "TcRnTypeEqualityOutOfScope"
[GHC-58520] "TcRnTypeEqualityRequiresOperators"
[GHC-62547] "TcRnIllegalTypeOperator"
[GHC-58008] "TcRnGADTMonoLocalBinds"
[GHC-31891] "TcRnIncorrectNameSpace"
[GHC-65945] "TcRnNoRebindableSyntaxRecordDot"
[GHC-57365] "TcRnNoFieldPunsRecordDot"
